Index,Diagnosis
780,Другие уточненные болезни почек и мочеточника
781,Болезнь почки и мочеточника неуточненная
782,Неизвестный диагноз
783,Острый цистит
784,Другой хронический цистит
785,Другие циститы
786,Цистит неуточненный
787,Другие нервно-мышечные дисфункции мочевого пузыря
788,Другие уточненные поражения мочевого пузыря
789,Уретрит неспецифический
790,Другие уретриты
791,Уретральный синдром неуточненный
792,Неизвестный диагноз
793,Посттравматическая стриктура уретры
794,Стриктура уретры неуточненная
795,Уретральный карункул
796,Неизвестный диагноз
797,Инфекция мочевыводящих путей без установленной локализации
798,Другие уточненные виды недержания мочи
799,Неизвестный диагноз
800,Острый простатит
801,Хронический простатит
802,Другие формы гидроцеле
803,Гидроцеле неуточненное
804,"Орхит, эпидидимит и эпидидимо-орхит без упоминания об абсцессе"
805,Неизвестный диагноз
806,Неизвестный диагноз
807,Баланопостит
808,Другие воспалительные болезни полового члена
809,Болезнь полового члена неуточненная
810,Неизвестный диагноз
811,Другие уточненные болезни мужских половых органов
812,Неизвестный диагноз
813,Диффузная кистозная мастопатия
814,Гипертрофия молочной железы
815,Образование в молочной железе неуточненное
816,Острый сальпингит и оофорит
817,Хронический сальпингит и оофорит
818,Неизвестный диагноз
819,Хронические воспалительные болезни матки
820,Неизвестный диагноз
821,Острый тазовый перитонит у женщин
822,Тазовые перитонеальные спайки у женщин
823,Неизвестный диагноз
824,Острый вагинит
825,Подострый и хронический вагинит
826,Острый вульвит
827,Подострый и хронический вульвит
828,Другие уточненные воспалительные болезни влагалища и вульвы
829,Неизвестный диагноз
830,Эндометриоз матки
831,Эндометриоз яичников
832,Эндометриоз ректовагинальной перегородки и влагалища
833,Цистоцеле
834,Неполное выпадение матки и влагалища
835,Полное выпадение матки и влагалища
836,Выпадение матки и влагалища неуточненное
837,Ректоцеле
838,Неизвестный диагноз
839,Неизвестный диагноз
840,Фолликулярная киста яичника
841,Киста желтого тела
842,Другие и неуточненные кисты яичника
843,Неизвестный диагноз
844,Полип тела матки
845,Полип шейки матки
846,Неизвестный диагноз
847,Железистая гиперплазия эндометрия
848,Другие уточненные невоспалительные болезни матки
849,Неизвестный диагноз
850,Слабовыраженная дисплазия шейки матки
851,Умеренная дисплазия шейки матки
852,"Резко выраженная дисплазия шейки матки, не классифицированная в других рубриках"
853,Дисплазия шейки матки неуточненная
854,Лейкоплакия вульвы
855,Вторичная аменорея
856,Аменорея неуточненная
857,Вторичная олигоменорея
858,Олигоменорея неуточненная
859,Обильные и частые менструации при регулярном цикле
860,Обильные и частые менструации при нерегулярном цикле
861,Овуляторные кровотечения
862,Другие уточненные формы нерегулярных менструаций
863,Нерегулярные менструации неуточненные
864,Неизвестный диагноз
865,Посткоитальные или контактные кровотечения
866,Другие уточненные аномальные кровотечения из матки и влагалища
867,Аномальное маточное и влагалищное кровотечение неуточненное
868,Синдром предменструального напряжения
869,Первичная дисменорея
870,Вторичная дисменорея
871,Дисменорея неуточненная
872,"Другие уточненные состояния, связанные с женскими половыми органами и менструальным циклом"
873,Неизвестный диагноз
874,Постменопаузные кровотечения
875,Менопаузное и климактерическое состояние у женщин
876,Постменопаузный атрофический вагинит
877,Менопаузные и перименопаузные нарушения неуточненные
878,Неизвестный диагноз
879,"Женское бесплодие, связанное с отсутствием овуляции"
880,Женское бесплодие трубного происхождения
881,"Женское бесплодие, связанное с мужскими факторами"
882,Другие формы женского бесплодия
883,Женское бесплодие неуточненное
884,Послеоперационные спайки в малом тазу
885,Внематочная беременность неуточненная
886,Угрожающий аборт
887,Рвота беременных легкая или умеренная
888,"Сахарный диабет, возникший во время беременности"
889,"Другие уточненные состояния, связанные с беременностью"
890,"Состояние, связанное с беременностью, неуточненное"
891,"Болезни системы кровообращения, осложняющие беременность, роды и послеродовой период"
892,Ишемия мозга
893,Врожденный стеноз аортального клапана
894,Врожденный порок сердца неуточненный
895,Артериовенозная аномалия развития прецеребральных сосудов
896,Артериовенозный порок развития церебральных сосудов
897,Другие врожденные аномалии тела и шейки матки
898,Неизвестный диагноз
899,Агенезия почки неуточненная
900,Тахикардия неуточненная
901,Другие и неуточненные аномалии сердечного ритма
902,Повышенное кровяное давление при отсутствии диагноза гипертензии
903,Кровохарканье
904,Одышка
905,Плеврит
906,"Другие уточненные симптомы и признаки, относящиеся к системам кровообращения и дыхания"
907,Острый живот
908,Боли в области таза и промежности
909,"Боли, локализованные в других областях нижней части живота"
910,Напряжение живота
911,Другие и неуточненные кожные изменения
912,Тремор неуточненный
913,"Другие и неуточненные симптомы и признаки, относящиеся к нервной и костно-мышечной системам"
914,Неизвестный диагноз
915,Неизвестный диагноз
916,"Другие трудности, связанные с мочеиспусканием"
917,Другие амнезии
918,Аносмия
919,Другие и неуточненные нарушения обоняния и вкусовой чувствительности
920,Дисфазия и афазия
921,Неизвестный диагноз
922,Лихорадка неуточненная
923,Неизвестный диагноз
924,Боль неуточненная
925,Неизвестный диагноз
926,Другие и неуточненные судороги
927,Неизвестный диагноз
928,Анормальная прибавка массы тела
929,Неизвестный диагноз
930,Другие уточненные отклонения от нормы химического состава крови
931,"Отклонения от нормы, выявленные при получении диагностического изображения в ходе исследования сердца и коронарного кровообращения"
932,"Отклонения от нормы, выявленные при проведении функциональных исследований сердечно-сосудистой системы"
933,Ушиб грудной клетки
934,Множественные переломы ребер
935,"Другие поверхностные травмы живота, нижней части спины и таза"
936,Перелом верхнего конца плечевой кости
937,Растяжение и повреждение капсульно-связочного аппарата плечевого сустава
938,Ушиб локтя
939,Неизвестный диагноз
940,Открытая рана других частей запястья и кисти
941,Перелом другого пальца кисти
942,Растяжение и повреждение капсульно-связочного аппарата на уровне запястья
943,Травматическая ампутация другого одного пальца кисти (полная) (частичная)
944,Травма приводящей мышцы бедра и ее сухожилия
945,Ушиб коленного сустава
946,Ушиб другой и неуточненной части голени
947,Поверхностная травма голени неуточненная
948,Разрыв мениска свежий
949,Растяжение и разрыв (внутренней) (наружной) боковой связки коленного сустава
950,Растяжение и разрыв других и неуточненных элементов коленного сустава
951,Травма голени неуточненная
952,Перелом пяточной кости
953,Неизвестный диагноз
954,Неизвестный диагноз
955,Неизвестный диагноз
956,Растяжение и повреждение связок голеностопного сустава
957,Травма голеностопного сустава и стопы неуточненная
958,Другие уточненные травмы с вовлечением нескольких областей тела
959,Травма неуточненная
960,"Термический ожог области плечевого пояса и верхней конечности, исключая запястье и кисть, неуточненной степени"
961,"Термический ожог области тазобедренного сустава и нижней конечности, исключая голеностопный сустав и стопу, неуточненной степени"
962,Химический ожог роговицы и конъюнктивального мешка
963,Неизвестный диагноз
964,Аллергия неуточненная
965,"Посттравматическая раневая инфекция, не классифицированная в других рубриках"
966,Неизвестный диагноз
967,Неизвестный диагноз
968,Общий медицинский осмотр
969,Рутинное обследование состояния здоровья ребенка
970,Другие общие осмотры
971,Гинекологическое обследование (общее) (рутинное)
972,Другое уточненное специальное обследование
973,Обследование в связи с получением водительских прав
974,Обращение в связи с получением медицинских документов
975,Наблюдение при подозрении на другие болезни или состояния
976,Наблюдение при подозрении на заболевание или состояние неуточненное
977,Обследование и наблюдение по другим уточненным поводам
978,Рутинная общая проверка здоровья других определенных групп населения
979,Неизвестный диагноз
980,Общие советы и консультации по контрацепции
981,Искусственное оплодотворение
982,Исследования и пробы по восстановлению детородной функции
983,Общее консультирование и советы по восстановлению детородной функции
984,Беременность подтвержденная
985,Неизвестный диагноз
986,Обращение за разъяснениями результатов исследования
987,Другая уточненная консультация
988,Употребление табака
989,Наличие колостомы
990,Наличие интраокулярных линз
